Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2025-10-06,BKR,48.915,49.575,48.8,49.08,49.08,5371928.0
2025-10-07,BKR,49.1,49.435,48.225,48.58,48.58,4877883.0
2025-10-08,BKR,48.75,48.9543,47.42,47.85,47.85,6007056.0
2025-10-09,BKR,48.0,48.29,47.0876,47.89,47.89,5456954.0
2025-10-10,BKR,47.475,47.69,44.99,45.04,45.04,7467021.0
2025-10-13,BKR,45.94,45.94,45.04,45.49,45.49,11108272.0
2025-10-14,BKR,44.92,45.36,43.92,44.83,44.83,9227848.0
2025-10-15,BKR,45.29,45.67,44.22,44.47,44.47,7972270.0
2025-10-16,BKR,44.87,45.12,44.245,44.64,44.64,8097365.0
2025-10-17,BKR,44.93,45.5,44.42,45.18,45.18,8216428.0
2025-10-20,BKR,45.42,46.39,45.2,46.28,46.28,6772217.0
2025-10-21,BKR,46.54,47.41,45.63,46.75,46.75,11386588.0
2025-10-22,BKR,47.0,48.33,46.72,47.3,47.3,8747506.0
2025-10-23,BKR,48.175,49.08,48.0,48.89,48.89,9548833.0
2025-10-24,BKR,47.92,50.42,46.845,47.3,47.3,13058724.0
2025-10-27,BKR,47.78,48.2,46.12,46.6,46.6,8754034.0
2025-10-28,BKR,46.39,47.98,46.39,47.86,47.86,9193894.0
2025-10-29,BKR,47.7,48.845,47.58,48.32,48.32,7071667.0
2025-10-30,BKR,48.07,49.16,47.7031,48.58,48.58,6193545.0
2025-10-31,BKR,48.95,48.975,47.9477,48.41,48.41,6960458.0
2025-11-03,BKR,48.64,48.985,48.29,48.64,48.64,5343324.0
2025-11-04,BKR,47.7,48.23,45.905,45.97,45.97,10408840.0
2025-11-05,BKR,46.13,47.66,45.82,47.04,47.04,7306763.0
2025-11-06,BKR,47.22,48.5,47.18,47.29,47.29,7690163.0
2025-11-07,BKR,47.31,47.93,46.71,47.87,47.87,5076321.0
2025-11-10,BKR,48.335,49.145,47.78,48.8,48.8,5492746.0
2025-11-11,BKR,48.93,49.5,48.74,48.95,48.95,5780891.0
2025-11-12,BKR,48.63,48.645,47.45,47.53,47.53,5723813.0
2025-11-13,BKR,47.505,48.49,47.23,47.51,47.51,5536196.0
2025-11-14,BKR,47.67,49.065,46.89,48.73,48.73,7976248.0
2025-11-17,BKR,48.87,49.53,47.56,47.88,47.88,5704274.0
2025-11-18,BKR,47.8,48.99,47.76,48.06,48.06,8977641.0
2025-11-19,BKR,47.26,48.595,47.18,48.48,48.48,6303873.0
2025-11-20,BKR,49.1,50.175,47.98,48.07,48.07,7986951.0
2025-11-21,BKR,47.97,49.45,47.77,48.88,48.88,8125893.0
2025-11-24,BKR,48.91,49.55,48.365,49.36,49.36,11197653.0
