Date,Ticker,Strategy,Setup,Side,EntryTrigger,SignalOpen,SignalHigh,SignalLow,SignalClose,Stop,Target,R,Grade,GradeBasis,Reason
2025-12-05,A,bull_flag_long,Bull Flag Long,long,> signal candle high,148.5,149.0,144.76,145.49,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,AA,bull_flag_long,Bull Flag Long,long,> signal candle high,44.29,44.8424,43.731,43.77,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,AAPL,bull_flag_long,Bull Flag Long,long,> signal candle high,280.54,281.14,278.05,278.78,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,ACM,bull_flag_long,Bull Flag Long,long,> signal candle high,105.36,105.42,102.31,102.43,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,ACMR,bull_flag_long,Bull Flag Long,long,> signal candle high,34.68,35.31,34.68,35.1,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,ADI,bull_flag_long,Bull Flag Long,long,> signal candle high,280.12,283.235,279.14,281.29,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,ADSK,bull_flag_long,Bull Flag Long,long,> signal candle high,306.0,307.8253,304.3,306.74,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,AHR,bull_flag_long,Bull Flag Long,long,> signal candle high,49.8429,50.32,49.675,50.11,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,AJG,bull_flag_long,Bull Flag Long,long,> signal candle high,245.0,245.0,238.65,239.71,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,AKAM,bull_flag_long,Bull Flag Long,long,> signal candle high,86.6,87.0,82.7,83.49,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,AKRO,bull_flag_long,Bull Flag Long,long,> signal candle high,54.65,54.65,54.295,54.55,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,AL,bull_flag_long,Bull Flag Long,long,> signal candle high,64.03,64.085,63.92,63.93,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,ALB,bull_flag_long,Bull Flag Long,long,> signal candle high,123.81,129.88,122.7,125.19,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,ALGN,bull_flag_long,Bull Flag Long,long,> signal candle high,157.92,159.5,155.395,157.21,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,ALLY,bull_flag_long,Bull Flag Long,long,> signal candle high,42.23,42.735,42.16,42.39,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,ALNY,bull_flag_long,Bull Flag Long,long,> signal candle high,468.29,473.5,455.32,458.12,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,AMAT,bull_flag_long,Bull Flag Long,long,> signal candle high,269.79,273.59,267.36,268.0,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,AME,bull_flag_long,Bull Flag Long,long,> signal candle high,199.11,201.3899,198.32,199.8,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,AMGN,bull_flag_long,Bull Flag Long,long,> signal candle high,340.46,340.87,328.63,329.89,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,AMKR,bull_flag_long,Bull Flag Long,long,> signal candle high,43.9,43.94,42.98,43.23,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,AMZN,bull_flag_long,Bull Flag Long,long,> signal candle high,230.32,231.24,228.58,229.53,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,ANF,bull_flag_long,Bull Flag Long,long,> signal candle high,95.719,98.9999,94.76,94.87,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,AOS,bull_flag_long,Bull Flag Long,long,> signal candle high,67.26,68.4,67.26,68.03,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,APG,bull_flag_long,Bull Flag Long,long,> signal candle high,38.7,39.21,38.44,39.06,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
