Date,Ticker,Strategy,Setup,Side,EntryTrigger,SignalOpen,SignalHigh,SignalLow,SignalClose,Stop,Target,R,Grade,GradeBasis,Reason
2025-12-05,ABNB,channel_down_short,Channel Down Short,short,< signal candle low,120.92,124.81,120.4001,124.32,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,ABT,channel_down_short,Channel Down Short,short,< signal candle low,125.55,126.05,124.64,125.08,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,AMH,channel_down_short,Channel Down Short,short,< signal candle low,30.96,31.165,30.63,30.83,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,AWK,channel_down_short,Channel Down Short,short,< signal candle low,128.63,130.28,128.07,129.5,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,BHF,channel_down_short,Channel Down Short,short,< signal candle low,65.54,65.59,65.29,65.35,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,BMRN,channel_down_short,Channel Down Short,short,< signal candle low,53.55,53.83,52.875,53.4,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,BRKR,channel_down_short,Channel Down Short,short,< signal candle low,48.36,48.72,47.44,48.03,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,BRO,channel_down_short,Channel Down Short,short,< signal candle low,79.85,79.86,77.63,78.37,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,CCK,channel_down_short,Channel Down Short,short,< signal candle low,98.22,99.675,97.94,97.95,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,CDNS,channel_down_short,Channel Down Short,short,< signal candle low,338.43,341.04,336.16,337.53,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,CDW,channel_down_short,Channel Down Short,short,< signal candle low,143.78,147.02,142.5,146.25,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,CHD,channel_down_short,Channel Down Short,short,< signal candle low,83.685,84.9,83.51,84.52,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,CI,channel_down_short,Channel Down Short,short,< signal candle low,268.805,269.08,263.87,265.44,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,CIEN,channel_down_short,Channel Down Short,short,< signal candle low,199.63,201.77,194.88,201.71,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,CL,channel_down_short,Channel Down Short,short,< signal candle low,77.47,78.2144,77.242,78.07,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,CLX,channel_down_short,Channel Down Short,short,< signal candle low,104.855,106.09,104.64,104.9,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,CME,channel_down_short,Channel Down Short,short,< signal candle low,273.345,273.87,270.1,270.87,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,CRCL,channel_down_short,Channel Down Short,short,< signal candle low,86.09,86.66,83.14,85.62,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,CRWV,channel_down_short,Channel Down Short,short,< signal candle low,87.3,88.76,84.62,88.3,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,DLR,channel_down_short,Channel Down Short,short,< signal candle low,161.0,165.99,160.995,164.73,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,DUOL,channel_down_short,Channel Down Short,short,< signal candle low,188.6,201.79,187.9,199.75,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,EMR,channel_down_short,Channel Down Short,short,< signal candle low,136.34,138.09,136.0,137.39,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,FISV,channel_down_short,Channel Down Short,short,< signal candle low,66.1,67.46,66.06,66.28,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,GEV,channel_down_short,Channel Down Short,short,< signal candle low,631.0,640.0,621.2,631.32,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,GIS,channel_down_short,Channel Down Short,short,< signal candle low,45.95,46.34,45.68,45.93,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,HRB,channel_down_short,Channel Down Short,short,< signal candle low,41.945,42.66,41.7,42.11,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,HSY,channel_down_short,Channel Down Short,short,< signal candle low,181.68,183.25,180.56,182.3,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,IR,channel_down_short,Channel Down Short,short,< signal candle low,79.79,80.115,79.365,79.86,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,IT,channel_down_short,Channel Down Short,short,< signal candle low,231.74,233.8071,228.49,229.77,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,JKHY,channel_down_short,Channel Down Short,short,< signal candle low,179.98,182.0,178.405,181.71,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,KMX,channel_down_short,Channel Down Short,short,< signal candle low,38.775,39.69,38.55,38.82,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,KR,channel_down_short,Channel Down Short,short,< signal candle low,63.025,63.94,62.67,62.71,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,LINE,channel_down_short,Channel Down Short,short,< signal candle low,36.05,36.425,35.31,35.33,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,LNTH,channel_down_short,Channel Down Short,short,< signal candle low,62.04,64.4,61.25,63.3,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,MKC,channel_down_short,Channel Down Short,short,< signal candle low,63.44,63.87,63.11,63.3,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,NNN,channel_down_short,Channel Down Short,short,< signal candle low,40.66,40.73,40.175,40.21,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,OTIS,channel_down_short,Channel Down Short,short,< signal candle low,86.825,87.21,86.03,86.45,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,PB,channel_down_short,Channel Down Short,short,< signal candle low,70.3,70.89,70.165,70.63,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,PM,channel_down_short,Channel Down Short,short,< signal candle low,148.02,148.92,147.3,147.81,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,PNW,channel_down_short,Channel Down Short,short,< signal candle low,87.88,88.425,87.57,88.17,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
2025-12-05,POWI,channel_down_short,Channel Down Short,short,< signal candle low,36.88,37.2,36.105,36.51,,,,,gpt_to_size,Finviz channel down pattern; GPT to set stop/target
