Date,Ticker,Open,High,Low,Close,Adj Close,Volume,RSI,L3,H3,BullishEngulfing,BearishEngulfing
2025-10-27,AA,39.74,40.81,39.3417,39.9,39.9,7207004.0,61.018658598083704,35.45,41.55,False,False
2025-10-28,AA,39.745,39.94,39.09,39.31,39.31,6073428.0,55.955532027527795,37.685,41.55,False,False
2025-10-29,AA,39.95,40.0,38.7,38.91,38.91,6292776.0,54.96619864794591,37.78,40.81,False,False
2025-10-30,AA,37.945,38.0,36.3,36.76,36.76,10180221.0,54.484536082474214,38.7,40.81,False,False
2025-10-31,AA,37.02,37.02,36.42,36.79,36.79,4578328.0,51.48351648351648,36.3,40.0,False,False
2025-11-03,AA,37.0,37.34,36.595,37.2,37.2,5225603.0,54.00331308669244,36.3,40.0,False,False
2025-11-04,AA,35.91,36.6727,35.215,35.26,35.26,4886109.0,46.89762150982419,36.3,38.0,False,False
2025-11-05,AA,35.48,36.26,35.26,35.74,35.74,5215141.0,46.37075718015666,35.215,37.34,False,False
2025-11-06,AA,36.02,37.5,35.8,36.7,36.7,8742045.0,51.92612137203167,35.215,37.34,False,False
2025-11-07,AA,36.07,37.58,35.54,37.32,37.32,4693758.0,45.05428226779252,35.215,37.5,False,False
2025-11-10,AA,38.5,39.17,38.22,38.79,38.79,5676473.0,54.779411764705884,35.26,37.58,False,False
2025-11-11,AA,38.8,38.875,37.355,37.48,37.48,4301533.0,55.70093457943924,35.54,39.17,False,True
2025-11-12,AA,38.165,40.38,38.145,40.03,40.03,8544680.0,49.61020552799434,35.54,39.17,False,False
2025-11-13,AA,40.0531,40.25,37.69,38.19,38.19,7396132.0,45.96191726854891,37.355,40.38,False,False
2025-11-14,AA,36.83,38.145,36.42,37.59,37.59,4371664.0,42.475570032573316,37.355,40.38,False,False
2025-11-17,AA,37.02,37.04,35.36,35.78,35.78,6772240.0,39.34821967410985,36.42,40.38,False,False
2025-11-18,AA,35.45,36.87,35.17,36.55,36.55,5739871.0,43.03423848878395,35.36,40.25,False,False
2025-11-19,AA,36.53,37.16,36.23,36.72,36.72,4079299.0,49.86631016042781,35.17,38.145,False,False
2025-11-20,AA,37.4,38.28,35.55,35.83,35.83,5687481.0,46.96586599241467,35.17,37.16,False,True
2025-11-21,AA,35.715,36.965,35.12,36.34,36.34,5183018.0,47.29899497487438,35.17,38.28,False,False
2025-11-24,AA,36.98,38.835,36.63,38.72,38.72,4911601.0,60.57457212713936,35.12,38.28,False,False
2025-11-25,AA,38.87,39.76,38.49,39.2,39.2,5009117.0,60.57457212713936,35.12,38.835,False,False
2025-11-26,AA,39.695,42.16,39.6,41.57,41.57,7661971.0,63.702870005627446,35.12,39.76,False,False
2025-11-28,AA,42.11,42.17,41.48,41.74,41.74,3768964.0,62.75981524249423,36.63,42.16,False,False
2025-12-01,AA,41.845,42.73,41.45,41.65,41.65,7454908.0,58.97114178168129,38.49,42.17,False,False
2025-12-02,AA,41.66,42.229,41.3,41.45,41.45,5932400.0,63.385030343897526,39.6,42.73,False,False
