Date,Ticker,Open,High,Low,Close,Adj Close,Volume,RSI,L3,H3,BullishEngulfing,BearishEngulfing
2026-02-17,A,125.865,125.91,122.99,123.87,123.87,2110511.0,23.578302712160976,120.99,129.56,False,True
2026-02-18,A,123.51,126.99,123.05,126.94,126.94,1370523.0,35.47169811320751,120.99,129.0,True,False
2026-02-19,A,126.245,126.36,123.66,126.34,126.34,1892895.0,35.47169811320751,122.99,127.77,False,False
2026-02-20,A,125.755,125.795,122.06,122.9,122.9,4242992.0,29.502059153874967,122.99,126.99,False,False
2026-02-23,A,121.83,124.26,121.68,124.2,124.2,2359513.0,28.862863619191558,122.06,126.99,False,False
2026-02-24,A,124.51,125.825,123.13,124.4,124.4,2729710.0,33.4756618274979,121.68,126.36,False,False
2026-02-25,A,125.05,125.59,123.44,124.72,124.72,2469300.0,31.965065502183407,121.68,125.825,False,False
2026-02-26,A,121.89,124.41,114.49,120.97,120.97,6095558.0,31.40283140283141,121.68,125.825,False,False
2026-02-27,A,119.09,121.975,119.05,121.38,121.38,4332893.0,32.67117497886724,114.49,125.825,False,False
2026-03-02,A,119.005,119.395,117.61,118.17,118.17,3478014.0,31.181928196853562,114.49,125.59,False,False
2026-03-03,A,116.64,119.0999,115.0,119.04,119.04,2770942.0,29.38741721854305,114.49,124.41,True,False
2026-03-04,A,119.355,121.17,119.25,120.54,120.54,2806213.0,33.64632237871673,115.0,121.975,False,False
2026-03-05,A,119.115,120.29,117.095,118.11,118.11,2657733.0,35.878181059657905,115.0,121.17,False,False
2026-03-06,A,116.48,116.77,114.91,115.07,115.07,2517416.0,29.40950920245396,115.0,121.17,False,False
2026-03-09,A,114.88,116.71,113.32,116.64,116.64,3207815.0,35.939323220536735,114.91,121.17,True,False
2026-03-10,A,115.51,117.035,114.455,115.43,115.43,2340141.0,25.870020964360606,113.32,120.29,False,False
2026-03-11,A,115.49,116.67,114.14,115.42,115.42,1547469.0,26.526225279449704,113.32,117.035,False,False
2026-03-12,A,113.95,114.19,110.89,111.63,111.63,2202770.0,26.132994493858533,113.32,117.035,False,False
2026-03-13,A,113.025,113.65,111.02,111.51,111.51,1720541.0,21.711992866696406,110.89,117.035,False,False
2026-03-16,A,113.12,114.07,111.43,111.83,111.83,1462883.0,22.128603104212843,110.89,116.67,False,False
2026-03-17,A,112.94,114.9,112.65,112.75,112.75,2284147.0,24.146868250539967,110.89,114.19,False,False
2026-03-18,A,112.12,112.415,110.33,111.5,111.5,2404407.0,27.07021791767555,111.02,114.9,False,False
2026-03-19,A,111.19,112.59,110.49,111.75,111.75,2758977.0,26.500732064421683,110.33,114.9,False,False
2026-03-20,A,111.365,112.53,110.18,111.3,111.3,4402493.0,30.626057529610833,110.33,114.9,False,False
2026-03-23,A,113.43,113.7,111.53,112.02,112.02,1975988.0,30.03412969283275,110.18,112.59,False,False
2026-03-24,A,110.03,115.24,110.03,114.2,114.2,2076858.0,32.6396495071194,110.18,113.7,True,False
2026-03-25,A,115.425,116.4,111.74,112.98,112.98,1060241.0,34.956011730205304,110.03,115.24,False,False
2026-02-17,AA,58.95,59.0,55.04,57.47,57.47,8265138.0,46.085091169109766,56.72,64.78,False,False
2026-02-18,AA,58.795,61.135,58.25,60.21,60.21,4961955.0,50.32938076416338,55.04,63.74,False,False
2026-02-19,AA,58.1296,59.79,57.255,59.69,59.69,4916484.0,48.4297520661157,55.04,61.135,False,False
2026-02-20,AA,59.37,61.2899,58.9,60.49,60.49,6818413.0,56.759735488611305,55.04,61.135,False,False
2026-02-23,AA,60.0,61.02,58.21,59.81,59.81,3887904.0,53.0188679245283,57.255,61.2899,False,False
2026-02-24,AA,59.855,62.66,59.57,61.41,61.41,5011342.0,50.1201923076923,57.255,61.2899,False,False
2026-02-25,AA,62.595,66.22,62.34,64.9,64.9,10152500.0,63.34125098970706,58.21,62.66,False,False
2026-02-26,AA,63.71,64.105,61.1101,63.47,63.47,5245123.0,64.23123243677236,58.21,66.22,False,False
2026-02-27,AA,62.58,63.67,61.27,62.08,62.08,3981460.0,56.20748299319727,59.57,66.22,False,False
2026-03-02,AA,63.0,65.23,62.22,64.08,64.08,6904720.0,53.85304659498207,61.1101,66.22,False,False
2026-03-03,AA,62.15,64.76,57.85,63.84,63.84,10630218.0,54.73588342440802,61.1101,65.23,False,False
2026-03-04,AA,66.46,68.4,60.99,61.55,61.55,13991920.0,46.500437445319335,57.85,65.23,False,True
2026-03-05,AA,61.12,63.45,58.65,60.38,60.38,7391975.0,49.69611968209445,57.85,68.4,False,False
2026-03-06,AA,58.26,60.09,56.75,59.65,59.65,5624669.0,49.30426716141001,57.85,68.4,False,False
2026-03-09,AA,57.72,62.18,56.63,61.16,61.16,6902279.0,58.960660514813,56.75,68.4,False,False
2026-03-10,AA,61.45,62.22,60.7144,61.31,61.31,3977441.0,53.05555555555556,56.63,63.45,False,False
2026-03-11,AA,60.7606,66.46,60.7606,66.36,66.36,7241468.0,64.80248557478916,56.63,62.22,True,False
2026-03-12,AA,66.49,67.5,64.345,65.93,65.93,8049918.0,62.27436823104694,56.63,66.46,False,False
2026-03-13,AA,67.08,68.03,62.98,63.59,63.59,5745065.0,57.9345088161209,60.7144,67.5,False,False
2026-03-16,AA,64.64,67.7,64.42,66.6,66.6,6462422.0,60.285374554102255,60.7606,68.03,False,False
2026-03-17,AA,66.99,68.16,65.315,65.42,65.42,5460597.0,51.134380453752165,62.98,68.03,False,False
2026-03-18,AA,64.49,65.76,63.63,64.23,64.23,4741963.0,51.67548500881835,62.98,68.16,False,False
2026-03-19,AA,59.87,59.87,55.8,58.65,58.65,10553544.0,43.617417193896536,63.63,68.16,False,False
2026-03-20,AA,57.935,59.79,55.69,56.45,56.45,7744608.0,35.906908016254164,55.8,68.16,False,False
2026-03-23,AA,57.03,58.1,55.1,56.08,56.08,6089734.0,35.735294117647044,55.69,65.76,False,False
