Date,Ticker,Strategy,Setup,Side,EntryTrigger,SignalOpen,SignalHigh,SignalLow,SignalClose,Stop,Target,R,Grade,GradeBasis,Reason
2025-12-05,A,bear_flag_short,Bear Flag Short,short,< signal candle low,148.5,149.0,144.76,145.49,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,AA,bear_flag_short,Bear Flag Short,short,< signal candle low,44.29,44.8424,43.731,43.77,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,AAON,bear_flag_short,Bear Flag Short,short,< signal candle low,86.36,89.14,84.9,87.53,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,AAP,bear_flag_short,Bear Flag Short,short,< signal candle low,52.51,54.73,52.16,52.47,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,AAPL,bear_flag_short,Bear Flag Short,short,< signal candle low,280.54,281.14,278.05,278.78,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,ABBV,bear_flag_short,Bear Flag Short,short,< signal candle low,228.85,229.25,225.05,226.08,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,ABNB,bear_flag_short,Bear Flag Short,short,< signal candle low,120.92,124.81,120.4001,124.32,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,ABT,bear_flag_short,Bear Flag Short,short,< signal candle low,125.55,126.05,124.64,125.08,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,ACM,bear_flag_short,Bear Flag Short,short,< signal candle low,105.36,105.42,102.31,102.43,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,ACMR,bear_flag_short,Bear Flag Short,short,< signal candle low,34.68,35.31,34.68,35.1,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,ADBE,bear_flag_short,Bear Flag Short,short,< signal candle low,330.6,348.59,329.71,346.26,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,ADI,bear_flag_short,Bear Flag Short,short,< signal candle low,280.12,283.235,279.14,281.29,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,ADM,bear_flag_short,Bear Flag Short,short,< signal candle low,59.255,59.59,58.965,59.01,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,ADP,bear_flag_short,Bear Flag Short,short,< signal candle low,259.4,262.76,259.34,261.63,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,ADSK,bear_flag_short,Bear Flag Short,short,< signal candle low,306.0,307.8253,304.3,306.74,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,AEE,bear_flag_short,Bear Flag Short,short,< signal candle low,100.965,101.0,99.635,99.86,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,AEP,bear_flag_short,Bear Flag Short,short,< signal candle low,117.87,118.115,116.825,117.537,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,AFL,bear_flag_short,Bear Flag Short,short,< signal candle low,108.98,109.46,108.5,109.28,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,AFRM,bear_flag_short,Bear Flag Short,short,< signal candle low,68.45,68.61,67.3,67.99,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,AHR,bear_flag_short,Bear Flag Short,short,< signal candle low,49.8429,50.32,49.675,50.11,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,AIG,bear_flag_short,Bear Flag Short,short,< signal candle low,76.7,77.28,76.4468,77.03,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,AJG,bear_flag_short,Bear Flag Short,short,< signal candle low,245.0,245.0,238.65,239.71,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,AKAM,bear_flag_short,Bear Flag Short,short,< signal candle low,86.6,87.0,82.7,83.49,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,AKRO,bear_flag_short,Bear Flag Short,short,< signal candle low,54.65,54.65,54.295,54.55,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,AL,bear_flag_short,Bear Flag Short,short,< signal candle low,64.03,64.085,63.92,63.93,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,ALAB,bear_flag_short,Bear Flag Short,short,< signal candle low,154.85,163.12,154.14,161.23,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,ALB,bear_flag_short,Bear Flag Short,short,< signal candle low,123.81,129.88,122.7,125.19,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,ALGN,bear_flag_short,Bear Flag Short,short,< signal candle low,157.92,159.5,155.395,157.21,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,ALK,bear_flag_short,Bear Flag Short,short,< signal candle low,47.19,49.935,47.18,49.65,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,ALL,bear_flag_short,Bear Flag Short,short,< signal candle low,206.47,206.47,201.82,202.27,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,ALLY,bear_flag_short,Bear Flag Short,short,< signal candle low,42.23,42.735,42.16,42.39,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,ALNY,bear_flag_short,Bear Flag Short,short,< signal candle low,468.29,473.5,455.32,458.12,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,AMAT,bear_flag_short,Bear Flag Short,short,< signal candle low,269.79,273.59,267.36,268.0,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,AMD,bear_flag_short,Bear Flag Short,short,< signal candle low,217.165,223.642,216.24,217.97,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,AME,bear_flag_short,Bear Flag Short,short,< signal candle low,199.11,201.3899,198.32,199.8,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,AMGN,bear_flag_short,Bear Flag Short,short,< signal candle low,340.46,340.87,328.63,329.89,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,AMH,bear_flag_short,Bear Flag Short,short,< signal candle low,30.96,31.165,30.63,30.83,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,AMKR,bear_flag_short,Bear Flag Short,short,< signal candle low,43.9,43.94,42.98,43.23,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,AMT,bear_flag_short,Bear Flag Short,short,< signal candle low,178.82,180.365,178.1,178.86,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,AMZN,bear_flag_short,Bear Flag Short,short,< signal candle low,230.32,231.24,228.58,229.53,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,ANET,bear_flag_short,Bear Flag Short,short,< signal candle low,128.325,129.6599,126.84,128.59,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,ANF,bear_flag_short,Bear Flag Short,short,< signal candle low,95.719,98.9999,94.76,94.87,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,AOS,bear_flag_short,Bear Flag Short,short,< signal candle low,67.26,68.4,67.26,68.03,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,APD,bear_flag_short,Bear Flag Short,short,< signal candle low,262.0,265.52,260.33,260.69,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,APG,bear_flag_short,Bear Flag Short,short,< signal candle low,38.7,39.21,38.44,39.06,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,APH,bear_flag_short,Bear Flag Short,short,< signal candle low,139.75,139.89,137.01,139.36,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,APLD,bear_flag_short,Bear Flag Short,short,< signal candle low,31.835,31.96,29.59406,31.22,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,APO,bear_flag_short,Bear Flag Short,short,< signal candle low,136.265,138.64,135.95,138.13,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,APP,bear_flag_short,Bear Flag Short,short,< signal candle low,687.445,702.3,678.69,691.94,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,AR,bear_flag_short,Bear Flag Short,short,< signal candle low,37.25,38.175,36.74,36.75,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,ARE,bear_flag_short,Bear Flag Short,short,< signal candle low,46.1,47.49,45.47,45.48,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,ARES,bear_flag_short,Bear Flag Short,short,< signal candle low,163.0,165.46,162.31,165.46,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,ARMK,bear_flag_short,Bear Flag Short,short,< signal candle low,37.6,38.02,37.39,37.95,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,ARQT,bear_flag_short,Bear Flag Short,short,< signal candle low,31.03,31.4499,30.385,31.2,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,ARWR,bear_flag_short,Bear Flag Short,short,< signal candle low,62.95,64.2775,60.29,61.44,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,ASO,bear_flag_short,Bear Flag Short,short,< signal candle low,49.51,50.78,49.155,50.23,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,ASTS,bear_flag_short,Bear Flag Short,short,< signal candle low,71.4,75.14,70.6,73.92,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,ATI,bear_flag_short,Bear Flag Short,short,< signal candle low,101.0,101.0775,99.0,100.41,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,AUB,bear_flag_short,Bear Flag Short,short,< signal candle low,34.34,34.71,33.94,34.39,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,AVAV,bear_flag_short,Bear Flag Short,short,< signal candle low,286.79,287.4499,273.37,278.39,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,AVGO,bear_flag_short,Bear Flag Short,short,< signal candle low,386.165,393.53,385.1452,390.24,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,AWK,bear_flag_short,Bear Flag Short,short,< signal candle low,128.63,130.28,128.07,129.5,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,AXP,bear_flag_short,Bear Flag Short,short,< signal candle low,369.45,374.875,369.45,370.35,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,BA,bear_flag_short,Bear Flag Short,short,< signal candle low,201.0,202.95,200.56,201.89,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,BAC,bear_flag_short,Bear Flag Short,short,< signal candle low,53.9,54.825,53.74,53.95,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,BAH,bear_flag_short,Bear Flag Short,short,< signal candle low,87.3,88.585,86.55,88.01,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,BALL,bear_flag_short,Bear Flag Short,short,< signal candle low,48.75,49.46,48.43,49.03,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,BAM,bear_flag_short,Bear Flag Short,short,< signal candle low,53.025,54.15,52.76,53.26,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,BBIO,bear_flag_short,Bear Flag Short,short,< signal candle low,74.4,74.86,72.375,73.64,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,BBY,bear_flag_short,Bear Flag Short,short,< signal candle low,74.265,74.58,73.25,74.17,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,BDX,bear_flag_short,Bear Flag Short,short,< signal candle low,193.715,196.115,193.685,193.96,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,BE,bear_flag_short,Bear Flag Short,short,< signal candle low,115.59,119.825,112.53,119.18,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,BEPC,bear_flag_short,Bear Flag Short,short,< signal candle low,40.58,40.65,39.63,39.71,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,BG,bear_flag_short,Bear Flag Short,short,< signal candle low,94.5,94.8,93.61,93.63,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,BHF,bear_flag_short,Bear Flag Short,short,< signal candle low,65.54,65.59,65.29,65.35,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,BIIB,bear_flag_short,Bear Flag Short,short,< signal candle low,181.96,183.14516,181.1,181.3,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,BILL,bear_flag_short,Bear Flag Short,short,< signal candle low,52.41,53.98,52.16,53.45,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,BJ,bear_flag_short,Bear Flag Short,short,< signal candle low,91.312,92.22,90.22,91.33,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,BK,bear_flag_short,Bear Flag Short,short,< signal candle low,113.825,114.9599,113.4,114.02,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,BKR,bear_flag_short,Bear Flag Short,short,< signal candle low,50.51,50.76,49.06,49.2,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,BKU,bear_flag_short,Bear Flag Short,short,< signal candle low,44.45,45.075,44.085,44.7,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,BLDR,bear_flag_short,Bear Flag Short,short,< signal candle low,111.47,112.4,109.79,110.01,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,BMNR,bear_flag_short,Bear Flag Short,short,< signal candle low,35.15,36.63,34.01,34.16,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,BMRN,bear_flag_short,Bear Flag Short,short,< signal candle low,53.55,53.83,52.875,53.4,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,BMY,bear_flag_short,Bear Flag Short,short,< signal candle low,51.99,52.51,51.69,52.15,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,BOX,bear_flag_short,Bear Flag Short,short,< signal candle low,31.745,31.92,31.04,31.62,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,BRBR,bear_flag_short,Bear Flag Short,short,< signal candle low,30.809,31.42,30.475,31.17,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,BRKR,bear_flag_short,Bear Flag Short,short,< signal candle low,48.36,48.72,47.44,48.03,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,BRO,bear_flag_short,Bear Flag Short,short,< signal candle low,79.85,79.86,77.63,78.37,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,BROS,bear_flag_short,Bear Flag Short,short,< signal candle low,60.965,61.02,57.77,58.43,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,BRZE,bear_flag_short,Bear Flag Short,short,< signal candle low,29.78,31.2,29.705,30.3,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,BSX,bear_flag_short,Bear Flag Short,short,< signal candle low,97.965,98.685,97.02,97.52,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,BSY,bear_flag_short,Bear Flag Short,short,< signal candle low,42.52,43.34,42.32,43.19,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
2025-12-05,BTSG,bear_flag_short,Bear Flag Short,short,< signal candle low,34.75,35.94,34.75,35.79,,,,,gpt_to_size,Finviz bear flag pattern; GPT to set stop/target
