Date,Ticker,Strategy,Setup,Side,EntryTrigger,SignalOpen,SignalHigh,SignalLow,SignalClose,Stop,Target,R,Grade,GradeBasis,Reason
2025-12-05,A,bull_flag_long,Bull Flag Long,long,> signal candle high,148.5,149.0,144.76,145.49,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,AA,bull_flag_long,Bull Flag Long,long,> signal candle high,44.29,44.8424,43.731,43.77,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,AAON,bull_flag_long,Bull Flag Long,long,> signal candle high,86.36,89.14,84.9,87.53,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,AAP,bull_flag_long,Bull Flag Long,long,> signal candle high,52.51,54.73,52.16,52.47,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,AAPL,bull_flag_long,Bull Flag Long,long,> signal candle high,280.54,281.14,278.05,278.78,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,ABBV,bull_flag_long,Bull Flag Long,long,> signal candle high,228.85,229.25,225.05,226.08,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,ABNB,bull_flag_long,Bull Flag Long,long,> signal candle high,120.92,124.81,120.4001,124.32,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,ABT,bull_flag_long,Bull Flag Long,long,> signal candle high,125.55,126.05,124.64,125.08,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,ACM,bull_flag_long,Bull Flag Long,long,> signal candle high,105.36,105.42,102.31,102.43,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,ACMR,bull_flag_long,Bull Flag Long,long,> signal candle high,34.68,35.31,34.68,35.1,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,ADBE,bull_flag_long,Bull Flag Long,long,> signal candle high,330.6,348.59,329.71,346.26,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,ADI,bull_flag_long,Bull Flag Long,long,> signal candle high,280.12,283.235,279.14,281.29,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,ADM,bull_flag_long,Bull Flag Long,long,> signal candle high,59.255,59.59,58.965,59.01,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,ADP,bull_flag_long,Bull Flag Long,long,> signal candle high,259.4,262.76,259.34,261.63,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,ADSK,bull_flag_long,Bull Flag Long,long,> signal candle high,306.0,307.8253,304.3,306.74,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
2025-12-05,AEE,bull_flag_long,Bull Flag Long,long,> signal candle high,100.965,101.0,99.635,99.86,,,,,gpt_to_size,Finviz bull flag pattern; GPT to set stop/target
