Date,Ticker,Strategy,Setup,Side,EntryTrigger,SignalOpen,SignalHigh,SignalLow,SignalClose,Stop,Target,R,Grade,GradeBasis,Reason
2025-12-05,AAPL,channel_up_long,Channel Up Long,long,> signal candle high,280.54,281.14,278.05,278.78,,,,,gpt_to_size,Finviz channel up pattern; GPT to set stop/target
2025-12-05,ACMR,channel_up_long,Channel Up Long,long,> signal candle high,34.68,35.31,34.68,35.1,,,,,gpt_to_size,Finviz channel up pattern; GPT to set stop/target
2025-12-05,ADI,channel_up_long,Channel Up Long,long,> signal candle high,280.12,283.235,279.14,281.29,,,,,gpt_to_size,Finviz channel up pattern; GPT to set stop/target
2025-12-05,AEP,channel_up_long,Channel Up Long,long,> signal candle high,117.87,118.115,116.825,117.537,,,,,gpt_to_size,Finviz channel up pattern; GPT to set stop/target
2025-12-05,AHR,channel_up_long,Channel Up Long,long,> signal candle high,49.8429,50.32,49.675,50.11,,,,,gpt_to_size,Finviz channel up pattern; GPT to set stop/target
2025-12-05,AKAM,channel_up_long,Channel Up Long,long,> signal candle high,86.6,87.0,82.7,83.49,,,,,gpt_to_size,Finviz channel up pattern; GPT to set stop/target
2025-12-05,ALL,channel_up_long,Channel Up Long,long,> signal candle high,206.47,206.47,201.82,202.27,,,,,gpt_to_size,Finviz channel up pattern; GPT to set stop/target
2025-12-05,ALLY,channel_up_long,Channel Up Long,long,> signal candle high,42.23,42.735,42.16,42.39,,,,,gpt_to_size,Finviz channel up pattern; GPT to set stop/target
2025-12-05,AMZN,channel_up_long,Channel Up Long,long,> signal candle high,230.32,231.24,228.58,229.53,,,,,gpt_to_size,Finviz channel up pattern; GPT to set stop/target
2025-12-05,APG,channel_up_long,Channel Up Long,long,> signal candle high,38.7,39.21,38.44,39.06,,,,,gpt_to_size,Finviz channel up pattern; GPT to set stop/target
2025-12-05,APH,channel_up_long,Channel Up Long,long,> signal candle high,139.75,139.89,137.01,139.36,,,,,gpt_to_size,Finviz channel up pattern; GPT to set stop/target
2025-12-05,BBY,channel_up_long,Channel Up Long,long,> signal candle high,74.265,74.58,73.25,74.17,,,,,gpt_to_size,Finviz channel up pattern; GPT to set stop/target
2025-12-05,BEPC,channel_up_long,Channel Up Long,long,> signal candle high,40.58,40.65,39.63,39.71,,,,,gpt_to_size,Finviz channel up pattern; GPT to set stop/target
2025-12-05,BILL,channel_up_long,Channel Up Long,long,> signal candle high,52.41,53.98,52.16,53.45,,,,,gpt_to_size,Finviz channel up pattern; GPT to set stop/target
2025-12-05,BK,channel_up_long,Channel Up Long,long,> signal candle high,113.825,114.9599,113.4,114.02,,,,,gpt_to_size,Finviz channel up pattern; GPT to set stop/target
2025-12-05,BXP,channel_up_long,Channel Up Long,long,> signal candle high,70.74,70.81,68.7,69.28,,,,,gpt_to_size,Finviz channel up pattern; GPT to set stop/target
